nev	style
Hokusai (Katsushika Hokusai)	Painting, Ink, Woodblock Print, Japan, 18th Century
Holbein, Ambrosius	Painting, Oil, Woodcut, Portrait, Mythology, Germany, 16th Century
Holbein, Hans	Painting, Oil, Portrait, Germany, 15th Century
Homer, Winslow	Illustration, Painting, Oil, Landscape, Realism, USA, 19th Century
Hong, Frank	Illustration, Concept Art, Game Art, Animation, Canada
Hooch, Pieter de	Painting, Oil, Portrait, Netherlands, 17th Century
Hopper, Edward	Painting, Oil, Realism, USA
Horkey, Aaron	Illustration, B&W, USA
Horley, Alex	Illustration, Comic, Nudity, DC Comics, Marvel, Hearthstone, Cover Art, Game Art, USA
Hornel, Edward Atkinson	Painting, Oil, Portrait, Scotland, UK, 19th Century
Howe, John	Illustration, Concept Art, Tolkien, Canada
Hoyland, John	Painting, Acrylic, Abstract, UK
Hue, Sebastien	Illustration, Concept Art, France
Hughes, Adam	Illustration, Comic, DC Comics, Marvel, USA
Hughes, Edward Robert	Painting, Oil, Watercolor, Tempera, Portrait, UK
Hurrell, George	Photography, Portrait, B&W, USA
Hutter, Michael	Illustration, Painting, Germany
Huynh, Duy	Painting, Acrylic, Surrealism, Vietnam, USA
Hyde, Catherine	Illustration, USA
Höch, Hannah	Painting, Oil, Tempera, Watercolor, Collage, Portrait, Dada, Germany
Icart, Louis	Illustration, Painting, France, 19th Century
Immonen, Stuart	Comic, DC Comics, Marvel, Canada
Inceoglu, Ismail	Illustration, Concept Art, Fantasy, Bulgaria
Infantino, Carmine	Comic, DC Comics, Marvel, USA
Ingpen, Robert	Illustration, Children's Book, Australia
Ingres, Jean-Auguste-Dominique	Painting, Oil, Portrait, Neoclassicism, Orientalism, France, 19th Century
Inoue, Takehiko	Illustration, Manga, Japan
Ishida, Sui	Illustration, Manga, Japan
Itten, Johannes	Painting, Oil, Watercolor, Expressionism, Bauhaus, Switzerland
Itō, Junji	Illustration, Manga, Horror, B&W, Japan
Jacinto, Jorge	Illustration, Concept Art, Sci-Fi, Fantasy, Game Art, MTG, Portugal
Jacklin, Bill	Painting, Oil, Pastel, Portrait, Landscape, Still Life, UK
Jakubowski, Marcin	Illustration, Character Design, Concept Art, Poland
Jansson, Alexander	Illustration, Sweden
Jasinski, Aaron	Illustration, Children's Book, Cover Art, USA
Jean, James	Illustration, Painting, Taiwan
Jeffers, Oliver	Author, Illustration, Children's Book, Australia
Jewett, Ellen	Sculpture, Canada
Jia, Ruan	Illustration, Concept Art, Game Art, China
Jimenez, Phil	Comic, DC Comics, USA
Johnstone, Dorothy	Painting, Oil, Watercolor, Gouache, Portrait, Scotland, UK
Jones, (Android) Andrew	Illustration, Concept Art, Game Art, USA
Jones, Jeffrey Catherine	Illustration, Cover Art, USA
Jover, Loui	Collage, Ink, B&W, Australia
Jullien, Jean	Illustration, Flat Style, France
Jurgens, Mandy	Illustration, Portrait, USA
Jusko, Joe	Illustration, Comic, Fantasy, DC Comics, Marvel, USA
Kago, Shintarō	Illustration, Manga, Horror, Japan
Kahraman, Hayv	Painting, Oil, Portrait, Iraq, USA
Kaluta, Michael William	Illustration, Comic, DC Comics, Marvel, Cover Art, Guatemala, USA
Kandinsky, Wassily	Painting, Expressionism, Abstract, Russia
Kashin, Wadim	Concept Art, Sci-Fi, Poland
Katz, Alex	Painting, Pop-Art, USA
Kawasaki, Audrey	Illustration, Painting, Oil, Charcoal, Portrait, USA
Keane, Glen	Illustration, Animation, Disney, USA
Keever, Kim	Photography, USA
Kehoe, Andy	Illustration, Fantasy, USA
Kelly, Ken	Painting, Fantasy, USA
Kelly-Freas, Frank	Illustration, Painting, Fantasy, Sci-Fi, Cover Art, USA
Kentridge, William	Illustration, Charcoal, B&W, South Africa
Kesinger, Brian	Illustration, Comic, Disney, USA
Ketner, Jeremiah	Illustration, USA, Japan
Kiefer, Anselm	Painting, Oil, Acrylic, Germany
Kieth, Sam	Comic, DC Comics, USA
Kim, Jung-Gi	Illustration, B&W, South Korea
Kinkade, Thomas	Painting, Oil, USA
Kirby, Jack	Comic, DC Comics, Marvel, USA
Kirchner, Ernst Ludwig	Painting, Oil, Portrait, Landscape, Expressionism, Germany
